"rgn_id","product","value"
1,"seasalt",0
2,"seasalt",0
3,"seasalt",0
4,"seasalt",0
5,"seasalt",0
7,"seasalt",0
8,"seasalt",0
9,"seasalt",0
10,"seasalt",0
11,"seasalt",0
1,"ChemProduct",0
2,"ChemProduct",0
3,"ChemProduct",0
4,"ChemProduct",0
5,"ChemProduct",0
7,"ChemProduct",0
8,"ChemProduct",0
9,"ChemProduct",0
2,"Sea medicianProduct",0.4
3,"Sea medicianProduct",0.4
4,"Sea medicianProduct",0.4
5,"Sea medicianProduct",0.4
7,"Sea medicianProduct",0.4
8,"Sea medicianProduct",0.4
9,"Sea medicianProduct",0.4
