"rgn_id","datalayer","value","year"
3,"mining",762,2007
3,"mining",762,2008
3,"mining",812,2009
3,"mining",813,2010
3,"mining",812,2011
2,"mining",415,2007
2,"mining",415,2008
2,"mining",443,2009
2,"mining",443,2010
2,"mining",443,2011
1,"mining",1403,2007
1,"mining",1403,2008
1,"mining",1497,2009
1,"mining",1496,2010
1,"mining",1496,2011
4,"mining",2290,2007
4,"mining",2290,2008
4,"mining",2442,2009
4,"mining",2442,2010
4,"mining",2443,2011
6,"mining",912,2007
6,"mining",913,2008
6,"mining",974,2009
6,"mining",973,2010
6,"mining",973,2011
5,"mining",837,2007
5,"mining",837,2008
5,"mining",892,2009
5,"mining",893,2010
5,"mining",893,2011
7,"mining",1835,2007
7,"mining",1835,2008
7,"mining",1958,2009
7,"mining",1957,2010
7,"mining",1958,2011
8,"mining",1859,2007
8,"mining",1859,2008
8,"mining",1983,2009
8,"mining",1983,2010
8,"mining",1983,2011
9,"mining",3617,2007
9,"mining",3617,2008
9,"mining",3858,2009
9,"mining",3858,2010
9,"mining",3858,2011
10,"mining",493,2007
10,"mining",493,2008
10,"mining",526,2009
10,"mining",526,2010
10,"mining",526,2011
11,"mining",577,2007
11,"mining",577,2008
11,"mining",615,2009
11,"mining",615,2010
11,"mining",616,2011
3,"tourism",59460,2007
3,"tourism",60684,2008
3,"tourism",61633,2009
3,"tourism",63176,2010
3,"tourism",64518,2011
2,"tourism",32402,2007
2,"tourism",33087,2008
2,"tourism",33598,2009
2,"tourism",34426,2010
2,"tourism",35191,2011
1,"tourism",109539,2007
1,"tourism",111770,2008
1,"tourism",113561,2009
1,"tourism",116346,2010
1,"tourism",118874,2011
4,"tourism",178754,2007
4,"tourism",182424,2008
4,"tourism",185310,2009
4,"tourism",189903,2010
4,"tourism",194038,2011
6,"tourism",71232,2007
6,"tourism",72708,2008
6,"tourism",73878,2009
6,"tourism",75685,2010
6,"tourism",77331,2011
5,"tourism",65328,2007
5,"tourism",66659,2008
5,"tourism",67718,2009
5,"tourism",69412,2010
5,"tourism",70906,2011
7,"tourism",143287,2007
7,"tourism",146201,2008
7,"tourism",148540,2009
7,"tourism",152191,2010
7,"tourism",155522,2011
8,"tourism",145118,2007
8,"tourism",148105,2008
8,"tourism",150443,2009
8,"tourism",154170,2010
8,"tourism",157502,2011
9,"tourism",282351,2007
9,"tourism",288144,2008
9,"tourism",292711,2009
9,"tourism",299976,2010
9,"tourism",306487,2011
10,"tourism",38494,2007
10,"tourism",39286,2008
10,"tourism",39907,2009
10,"tourism",40885,2010
10,"tourism",41804,2011
11,"tourism",45034,2007
11,"tourism",45970,2008
11,"tourism",46701,2009
11,"tourism",47830,2010
11,"tourism",48902,2011
3,"egineering_arch",29451,2007
3,"egineering_arch",30063,2008
3,"egineering_arch",30563,2009
3,"egineering_arch",31283,2010
3,"egineering_arch",31980,2011
2,"egineering_arch",16049,2007
2,"egineering_arch",16391,2008
2,"egineering_arch",16661,2009
2,"egineering_arch",17047,2010
2,"egineering_arch",17443,2011
1,"egineering_arch",54255,2007
1,"egineering_arch",55371,2008
1,"egineering_arch",56313,2009
1,"egineering_arch",57612,2010
1,"egineering_arch",58922,2011
4,"egineering_arch",88537,2007
4,"egineering_arch",90373,2008
4,"egineering_arch",91892,2009
4,"egineering_arch",94035,2010
4,"egineering_arch",96180,2011
6,"egineering_arch",35282,2007
6,"egineering_arch",36020,2008
6,"egineering_arch",36635,2009
6,"egineering_arch",37477,2010
6,"egineering_arch",38331,2011
5,"egineering_arch",32357,2007
5,"egineering_arch",33023,2008
5,"egineering_arch",33580,2009
5,"egineering_arch",34371,2010
5,"egineering_arch",35146,2011
7,"egineering_arch",70971,2007
7,"egineering_arch",72428,2008
7,"egineering_arch",73658,2009
7,"egineering_arch",75361,2010
7,"egineering_arch",77088,2011
8,"egineering_arch",71878,2007
8,"egineering_arch",73371,2008
8,"egineering_arch",74602,2009
8,"egineering_arch",76341,2010
8,"egineering_arch",78069,2011
9,"egineering_arch",139849,2007
9,"egineering_arch",142746,2008
9,"egineering_arch",145150,2009
9,"egineering_arch",148541,2010
9,"egineering_arch",151917,2011
10,"egineering_arch",19066,2007
10,"egineering_arch",19462,2008
10,"egineering_arch",19789,2009
10,"egineering_arch",20246,2010
10,"egineering_arch",20721,2011
11,"egineering_arch",22306,2007
11,"egineering_arch",22774,2008
11,"egineering_arch",23158,2009
11,"egineering_arch",23684,2010
11,"egineering_arch",24239,2011
3,"biomedicine",457,2007
3,"biomedicine",457,2008
3,"biomedicine",457,2009
3,"biomedicine",508,2010
3,"biomedicine",508,2011
2,"biomedicine",249,2007
2,"biomedicine",249,2008
2,"biomedicine",249,2009
2,"biomedicine",277,2010
2,"biomedicine",277,2011
1,"biomedicine",842,2007
1,"biomedicine",842,2008
1,"biomedicine",842,2009
1,"biomedicine",935,2010
1,"biomedicine",935,2011
