"rgn_id","year","count"
4,1988,1138924.78150078
3,1988,3898529.2651923
2,1988,150286.775303647
1,1988,341394.751619536
10,1988,143792.350029215
7,1988,1237515.6602142
11,1988,630339.233461126
8,1988,1266313.36569706
6,1988,915751.943645696
9,1988,101206.289199695
5,1988,1743445.58413675
4,1989,1241775.07990196
3,1989,4250584.90992278
2,1989,163858.382434159
1,1989,372224.313542317
10,1989,156777.479818757
7,1989,1349269.18160255
11,1989,687261.849693976
8,1989,1380667.4561926
6,1989,998448.678491799
9,1989,110345.69613274
5,1989,1900886.97226636
4,1990,1232746.38723167
3,1990,4219679.77626226
2,1990,162667.001643552
1,1990,369517.946676226
10,1990,155637.582823064
7,1990,1339458.9213007
11,1990,682264.909325842
8,1990,1370628.90545697
6,1990,991189.162327346
9,1990,109543.395141202
5,1990,1887066.01181118
4,1991,1345629.6603668
3,1991,4606078.20310842
2,1991,177562.50956537
1,1991,403354.910819887
10,1991,169889.402949149
7,1991,1462113.92060354
11,1991,744740.286992856
8,1991,1496138.15756604
6,1991,1081952.90586655
9,1991,119574.344833655
5,1991,2059865.69732773
4,1992,1358951.16656408
3,1992,4651677.59879292
2,1992,179320.348398185
1,1992,407348.05626135
10,1992,171571.279323383
7,1992,1476588.60128882
11,1992,752113.089956962
8,1992,1510949.67244642
6,1992,1092664.05676133
9,1992,120758.110636873
5,1992,2080258.01956968
4,1993,1389187.93340211
3,1993,4755177.77924164
2,1993,183310.239791809
1,1993,416411.581502099
10,1993,175388.753340584
7,1993,1509442.80999872
11,1993,768847.663425378
8,1993,1544568.41760359
6,1993,1116975.9151485
9,1993,123444.987785196
5,1993,2126543.91876038
4,1994,1478805.33872928
3,1994,5061937.35021013
2,1994,195135.701030744
1,1994,443274.559926486
10,1994,186703.194403614
7,1994,1606817.93460879
11,1994,818446.519729361
8,1994,1644209.51770797
6,1994,1189032.74844059
9,1994,131408.503188659
5,1994,2263728.63202437
4,1995,1529797.26821614
3,1995,5236482.26539864
2,1995,201864.339105501
1,1995,458559.482499536
10,1995,193141.064131743
7,1995,1662223.97397987
11,1995,846668.061895734
8,1995,1700904.88767508
6,1995,1230032.78575324
9,1995,135939.710206296
5,1995,2341786.16113822
4,1996,1457813.87441841
3,1996,4990083.75701031
2,1996,192365.773172975
1,1996,436982.330745999
10,1996,184052.964965427
7,1996,1584009.34686229
11,1996,806828.769604104
8,1996,1620870.16092677
6,1996,1172154.57127307
9,1996,129543.175256316
5,1996,2231595.27576434
4,1997,1510075.92533871
3,1997,5168976.28642151
2,1997,199262.010072148
1,1997,452647.974503047
10,1997,190651.190977573
7,1997,1640795.45556699
11,1997,835753.26194222
8,1997,1678977.71523945
6,1997,1214175.84913667
9,1997,134187.24686273
5,1997,2311597.08393895
4,1998,1543207.38753668
3,1998,5282384.98300566
2,1998,203633.870879554
1,1998,462579.189884069
10,1998,194834.128153699
7,1998,1676794.93857214
11,1998,854089.907895077
8,1998,1715814.92704469
6,1998,1240815.18598878
9,1998,137131.35028315
5,1998,2362314.1307565
4,1999,1543433.84329613
3,1999,5283160.13902986
2,1999,203663.752840497
1,1999,462647.070405247
10,1999,194862.718808989
7,1999,1677040.99744558
11,1999,854215.240096241
8,1999,1716066.71185049
6,1999,1240997.2676374
9,1999,137151.473426885
5,1999,2362660.78516268
4,2000,1859359.31953573
3,2000,6364570.19766159
2,2000,245351.68678619
1,2000,557346.300102382
10,2000,234749.169082492
7,2000,2020314.5223152
11,2000,1029064.55917182
8,2000,2067328.41027384
6,2000,1495017.00064591
9,2000,165225.008776361
5,2000,2846273.82564849
4,2001,1811970.99039492
3,2001,6202360.37398862
2,2001,239098.561655121
1,2001,543141.563214162
10,2001,228766.263695065
7,2001,1968824.02849535
11,2001,1002837.43377179
8,2001,2014639.70286861
6,2001,1456914.4365243
9,2001,161014.022219904
5,2001,2773732.62317215
4,2002,1851689.36142215
3,2002,6338316.00014627
2,2002,244339.597761236
1,2002,555047.216363357
10,2002,233780.816018539
7,2002,2011980.61525398
11,2002,1024819.61201066
8,2002,2058800.56837302
6,2002,1488849.97437316
9,2002,164543.446647235
5,2002,2834532.7916304
4,2003,1927483.1195202
3,2003,6597757.35120268
2,2003,254340.960167007
1,2003,577766.531668887
10,2003,243349.984036908
7,2003,2094335.45037245
11,2003,1066767.75481753
8,2003,2143071.84815807
6,2003,1549791.91050616
9,2003,171278.575363546
5,2003,2950556.51418657
4,2004,2032853.96898311
3,2004,6958440.81950688
2,2004,268245.166514961
1,2004,609351.633305648
10,2004,256653.340250547
7,2004,2208827.71400428
11,2004,1125085.37294159
8,2004,2260228.41301383
6,2004,1634515.29326731
9,2004,180641.961635559
5,2004,3111856.31657629
4,2005,2185327.61641186
3,2005,7480356.74084483
2,2005,288364.820738884
1,2005,655055.883347404
10,2005,275903.552764508
7,2005,2374500.22331119
11,2005,1209472.08890769
8,2005,2429756.2174762
6,2005,1757111.65894094
9,2005,194190.961804537
5,2005,3345260.23545195
4,2006,2263789.61411041
3,2006,7748931.45201248
2,2006,298718.270597494
1,2006,678575.00827203
10,2006,285809.593286512
7,2006,2459754.27385147
11,2006,1252896.97199783
8,2006,2516994.17910352
6,2006,1820198.99189026
9,2006,201163.193649208
5,2006,3465368.45122879
4,2007,2182718.45222688
3,2007,7471425.59534861
2,2007,288020.528580203
1,2007,654273.781690355
10,2007,275574.138692688
7,2007,2371665.19716071
11,2007,1208028.04398124
8,2007,2426855.21862675
6,2007,1755013.76168513
9,2007,193959.108191933
5,2007,3341266.1738155
4,2008,2043202.01259977
3,2008,6993862.07956927
2,2008,269610.642208448
1,2008,612453.477990776
10,2008,257959.808890104
7,2008,2220071.5346992
11,2008,1130812.50961215
8,2008,2271733.88392239
6,2008,1642835.6329498
9,2008,181561.501812338
5,2008,3127696.91574576
4,2009,2033858.25104676
3,2009,6961878.46796203
2,2009,268377.686515661
1,2009,609652.668660437
10,2009,256780.133591398
7,2009,2209918.93161692
11,2009,1125641.19400762
8,2009,2261345.02389173
6,2009,1635322.78579596
9,2009,180731.203403429
5,2009,3113393.65350806
4,2010,2172695.32339552
3,2010,7437116.51566877
2,2010,286697.927004589
1,2010,651269.330796483
10,2010,274308.691428113
7,2010,2360774.41745811
11,2010,1202480.73177322
8,2010,2415711.00417869
6,2010,1746954.66958544
9,2010,193068.440351818
5,2010,3325922.94835926
4,2011,2243054.14326675
3,2011,7677954.12214436
2,2011,295982.122347748
1,2011,672359.513593744
10,2011,283191.683719522
7,2011,2437223.83961407
11,2011,1241420.90175215
8,2011,2493939.44862452
6,2011,1803526.64615161
9,2011,199320.613618479
5,2011,3433626.96516705
4,2012,2240582.82171795
3,2012,7669494.81074982
2,2012,295656.01920877
1,2012,671618.730514803
10,2012,282879.67265527
7,2012,2434538.58843003
11,2012,1240053.14599162
8,2012,2491191.71009165
6,2012,1801539.58120366
9,2012,199101.008875976
5,2012,3429843.91056045
4,2013,2242876.91702022
3,2013,7677347.47829933
2,2013,295958.736465271
1,2013,672306.389707605
10,2013,283169.308424078
7,2013,2437031.27180008
11,2013,1241322.81568167
8,2013,2493742.39964607
6,2013,1803384.14747009
9,2013,199304.865071208
5,2013,3433355.67041438
