"rgn_id","value","year"
3,12419.1,2007
3,14542.4,2008
3,16126.6,2009
3,18508.4,2010
3,21118.6,2011
2,8314.69,2007
2,9468.43,2008
2,10412.7,2009
2,11646.2,2010
2,13355.8,2011
1,9105.93,2007
1,10706.4,2008
1,11857.9,2009
1,13461.2,2010
1,15588.2,2011
4,10175.8,2007
4,11595.2,2008
4,12727.8,2009
4,14363.6,2010
4,16616,2011
6,18123.1,2007
6,20599.7,2008
6,22443,2009
6,24858.2,2010
6,28293,2011
5,12123.7,2007
5,13766,2008
5,15249.2,2009
5,17116.8,2010
5,19888.5,2011
7,15424.5,2007
7,17119.4,2008
7,18563.3,2009
7,20718.7,2010
7,23667.5,2011
8,11225.2,2007
8,12941.1,2008
8,14186.3,2009
8,15788.2,2010
8,18078.3,2011
9,12621.5,2007
9,14039.1,2008
9,15511.7,2009
9,17393.6,2010
9,19795.2,2011
10,8203.31,2007
10,9541.76,2008
10,10506.7,2009
10,11642.8,2010
10,13038.7,2011
11,7791.71,2007
11,8994.28,2008
11,9826.82,2009
11,11102.5,2010
11,13270.1,2011
