"rgn_id","product","value"
"LN","seasalt",0
"HB","seasalt",0
"TJ","seasalt",0
"SD","seasalt",0
"JS","seasalt",0
"ZJ","seasalt",0
"FJ","seasalt",0
"GD","seasalt",0
"GX","seasalt",0
"HN","seasalt",0
"LN","ChemProduct",0
"HB","ChemProduct",0
"TJ","ChemProduct",0
"SD","ChemProduct",0
"JS","ChemProduct",0
"ZJ","ChemProduct",0
"FJ","ChemProduct",0
"GD","ChemProduct",0
"HB","Sea medicianProduct",0.2
"TJ","Sea medicianProduct",0.2
"SD","Sea medicianProduct",0.2
"JS","Sea medicianProduct",0.2
"ZJ","Sea medicianProduct",0.2
"FJ","Sea medicianProduct",0.2
"GD","Sea medicianProduct",0.2
