"rgn_id","value","year"
3,"1,601.00 ",2007
3,"1,888.70 ",2008
3,"2,158.10 ",2009
3,"3,021.50 ",2010
2,"1,232.90 ",2007
2,"1,396.60 ",2008
2,"922.90 ",2009
2,"1,152.90 ",2010
1,"1,759.80 ",2007
1,"2,074.40 ",2008
1,"2,281.20 ",2009
1,"2,619.60 ",2010
4,"4,477.80 ",2007
4,"5,346.30 ",2008
4,"5,820.00 ",2009
4,"7,074.50 ",2010
6,"4,321.40 ",2007
6,"4,792.50 ",2008
6,"4,204.50 ",2009
6,"5,224.50 ",2010
5,"1,873.50 ",2007
5,"2,114.50 ",2008
5,"2,717.40 ",2009
5,"3,550.90 ",2010
7,"2,244.40 ",2007
7,"2,677.00 ",2008
7,"3,392.60 ",2009
7,"3,883.50 ",2010
8,"2,290.30 ",2007
8,"2,688.20 ",2008
8,"3,202.90 ",2009
8,"3,682.90 ",2010
9,"4,532.70 ",2007
9,"5,825.50 ",2008
9,"6,661.00 ",2009
9,"8,253.70 ",2010
10,"343.50 ",2007
10,"398.40 ",2008
10,"443.80 ",2009
10,"548.70 ",2010
11,"371.10 ",2007
11,"429.60 ",2008
11,"473.30 ",2009
11,"560.00 ",2010
