rgn_id,type,label
1,eez,Liaoning
2,eez,Hebei
3,eez,Tianjin
4,eez,Shandong
5,eez,Jiangsu
6,eez,Shanghai
7,eez,Zhejiang
8,eez,Fujian
9,eez,Guangdong
10,eez,Guangxi
11,eez,Hainan
