"rgn_id","year","area_km2"
4,0,77
3,0,77
2,0,77
1,0,77
10,0,77
7,0,77
11,0,77
8,0,77
6,0,77
9,0,77
5,0,77
4,1976,18
3,1976,18
2,1976,18
1,1976,18
10,1976,18
7,1976,18
11,1976,18
8,1976,18
6,1976,18
9,1976,18
5,1976,18
4,1977,21
3,1977,21
2,1977,21
1,1977,21
10,1977,21
7,1977,21
11,1977,21
8,1977,21
6,1977,21
9,1977,21
5,1977,21
4,1978,180
3,1978,180
2,1978,180
1,1978,180
10,1978,180
7,1978,180
11,1978,180
8,1978,180
6,1978,180
9,1978,180
5,1978,180
4,1979,66
3,1979,66
2,1979,66
1,1979,66
10,1979,66
7,1979,66
11,1979,66
8,1979,66
6,1979,66
9,1979,66
5,1979,66
4,1980,12
3,1980,12
2,1980,12
1,1980,12
10,1980,12
7,1980,12
11,1980,12
8,1980,12
6,1980,12
9,1980,12
5,1980,12
4,1981,44
3,1981,44
2,1981,44
1,1981,44
10,1981,44
7,1981,44
11,1981,44
8,1981,44
6,1981,44
9,1981,44
5,1981,44
4,1982,87
3,1982,87
2,1982,87
1,1982,87
10,1982,87
7,1982,87
11,1982,87
8,1982,87
6,1982,87
9,1982,87
5,1982,87
4,1983,101
3,1983,101
2,1983,101
1,1983,101
10,1983,101
7,1983,101
11,1983,101
8,1983,101
6,1983,101
9,1983,101
5,1983,101
4,1984,53
3,1984,53
2,1984,53
1,1984,53
10,1984,53
7,1984,53
11,1984,53
8,1984,53
6,1984,53
9,1984,53
5,1984,53
4,1985,41
3,1985,41
2,1985,41
1,1985,41
10,1985,41
7,1985,41
11,1985,41
8,1985,41
6,1985,41
9,1985,41
5,1985,41
4,1986,97
3,1986,97
2,1986,97
1,1986,97
10,1986,97
7,1986,97
11,1986,97
8,1986,97
6,1986,97
9,1986,97
5,1986,97
4,1987,28
3,1987,28
2,1987,28
1,1987,28
10,1987,28
7,1987,28
11,1987,28
8,1987,28
6,1987,28
9,1987,28
5,1987,28
4,1988,36
3,1988,36
2,1988,36
1,1988,36
10,1988,36
7,1988,36
11,1988,36
8,1988,36
6,1988,36
9,1988,36
5,1988,36
4,1990,92
3,1990,92
2,1990,92
1,1990,92
10,1990,92
7,1990,92
11,1990,92
8,1990,92
6,1990,92
9,1990,92
5,1990,92
4,1991,35
3,1991,35
2,1991,35
1,1991,35
10,1991,35
7,1991,35
11,1991,35
8,1991,35
6,1991,35
9,1991,35
5,1991,35
4,1992,453
3,1992,453
2,1992,453
1,1992,453
10,1992,453
7,1992,453
11,1992,453
8,1992,453
6,1992,453
9,1992,453
5,1992,453
4,1995,3
3,1995,3
2,1995,3
1,1995,3
10,1995,3
7,1995,3
11,1995,3
8,1995,3
6,1995,3
9,1995,3
5,1995,3
4,1997,53
3,1997,53
2,1997,53
1,1997,53
10,1997,53
7,1997,53
11,1997,53
8,1997,53
6,1997,53
9,1997,53
5,1997,53
4,2000,28
3,2000,28
2,2000,28
1,2000,28
10,2000,28
7,2000,28
11,2000,28
8,2000,28
6,2000,28
9,2000,28
5,2000,28
4,2002,58
3,2002,58
2,2002,58
1,2002,58
10,2002,58
7,2002,58
11,2002,58
8,2002,58
6,2002,58
9,2002,58
5,2002,58
4,2004,110
3,2004,110
2,2004,110
1,2004,110
10,2004,110
7,2004,110
11,2004,110
8,2004,110
6,2004,110
9,2004,110
5,2004,110
4,2008,7
3,2008,7
2,2008,7
1,2008,7
10,2008,7
7,2008,7
11,2008,7
8,2008,7
6,2008,7
9,2008,7
5,2008,7
4,2013,59
3,2013,59
2,2013,59
1,2013,59
10,2013,59
7,2013,59
11,2013,59
8,2013,59
6,2013,59
9,2013,59
5,2013,59
