"rgn_id","habitat","extent_rank"
1,"saltmarshes",1.1886e+06
2,"saltmarshes",81551
3,"saltmarshes",76840
4,"saltmarshes",721275
5,"saltmarshes",363979
6,"saltmarshes",18314.8
7,"saltmarshes",164270
8,"saltmarshes",258187
9,"saltmarshes",467415
10,"saltmarshes",3165.76
11,"saltmarshes",2.51398e+06
1,"seagrasses",400
4,"seagrasses",1156
9,"seagrasses",3900
10,"seagrasses",3768.8
11,"seagrasses",22536.8
7,"mangroves",1072
8,"mangroves",13748
9,"mangroves",65392
10,"mangroves",33700
11,"mangroves",16132
11,"coral reef",150000
