"rgn_id","saup_id","prop_area"
4,156,0.0754516627874081
3,156,0.17629569562532
2,156,0.0204588704676593
1,156,0.178450919265643
10,156,0.0176294549628527
7,156,0.107661984152388
11,156,0.0692276545576437
8,156,0.1290451570023
6,156,0.0483887678917181
9,156,0.00138342986351524
5,156,0.175071966948187
4,344,6.92174088773102e-05
3,344,0.000161729122945771
2,344,1.87684399523165e-05
1,344,0.000163706269511177
10,344,1.61728071637879e-05
7,344,9.87663267092636e-05
11,344,6.35076642993915e-05
8,344,0.000118382697821148
6,344,4.4390607290755e-05
9,344,1.26912286593101e-06
5,344,0.000160606505828125
4,446,1.3533208221124e-06
3,446,3.16208585635508e-06
2,446,3.66955669072473e-07
1,446,3.20074251309406e-06
10,446,3.1620653014559e-07
7,446,1.93105359803519e-06
11,446,1.24168537733669e-06
8,446,2.31458779717075e-06
6,446,8.67913638016668e-07
9,446,2.48135610410927e-08
5,446,3.1401367376982e-06
