"rgn_id","year","individual"
1,2003,870018
1,2004,902792
1,2005,877543
1,2006,837435
1,2007,853808
1,2008,901395
1,2009,892096
1,2010,834869
1,2011,827615
1,2012,818372
1,2013,818839
2,2003,870018
2,2004,902792
2,2005,877543
2,2006,837435
2,2007,853808
2,2008,901395
2,2009,892096
2,2010,834869
2,2011,827615
2,2012,818372
2,2013,818839
3,2003,870018
3,2004,902792
3,2005,877543
3,2006,837435
3,2007,853808
3,2008,901395
3,2009,892096
3,2010,834869
3,2011,827615
3,2012,818372
3,2013,818839
4,2003,870018
4,2004,902792
4,2005,877543
4,2006,837435
4,2007,853808
4,2008,901395
4,2009,892096
4,2010,834869
4,2011,827615
4,2012,818372
4,2013,818839
5,2003,870018
5,2004,902792
5,2005,877543
5,2006,837435
5,2007,853808
5,2008,901395
5,2009,892096
5,2010,834869
5,2011,827615
5,2012,818372
5,2013,818839
6,2003,870018
6,2004,902792
6,2005,877543
6,2006,837435
6,2007,853808
6,2008,901395
6,2009,892096
6,2010,834869
6,2011,827615
6,2012,818372
6,2013,818839
7,2003,870018
7,2004,902792
7,2005,877543
7,2006,837435
7,2007,853808
7,2008,901395
7,2009,892096
7,2010,834869
7,2011,827615
7,2012,818372
7,2013,818839
8,2003,870018
8,2004,902792
8,2005,877543
8,2006,837435
8,2007,853808
8,2008,901395
8,2009,892096
8,2010,834869
8,2011,827615
8,2012,818372
8,2013,818839
9,2003,870018
9,2004,902792
9,2005,877543
9,2006,837435
9,2007,853808
9,2008,901395
9,2009,892096
9,2010,834869
9,2011,827615
9,2012,818372
9,2013,818839
10,2003,870018
10,2004,902792
10,2005,877543
10,2006,837435
10,2007,853808
10,2008,901395
10,2009,892096
10,2010,834869
10,2011,827615
10,2012,818372
10,2013,818839
11,2003,870018
11,2004,902792
11,2005,877543
11,2006,837435
11,2007,853808
11,2008,901395
11,2009,892096
11,2010,834869
11,2011,827615
11,2012,818372
11,2013,818839
