"rgn_id","year","kilowatt"
1,2009,1.05838e+06
1,2010,1.05965e+06
1,2011,1.05326e+06
1,2012,1.01679e+06
1,2013,935201
2,2009,311723
2,2010,309085
2,2011,302116
2,2012,289592
2,2013,316550
3,2009,36203
3,2010,36003
3,2011,36036
3,2012,44104
3,2013,41691
4,2009,1.30385e+06
4,2010,1.40192e+06
4,2011,1.45933e+06
4,2012,1.36125e+06
4,2013,1.36274e+06
5,2009,550547
5,2010,539160
5,2011,605883
5,2012,600487
5,2013,581788
6,2009,59122
6,2010,51557
6,2011,53499
6,2012,50595
6,2013,42751
7,2009,3.45617e+06
7,2010,3.30454e+06
7,2011,3.29954e+06
7,2012,3.37425e+06
7,2013,3.26623e+06
8,2009,1.76266e+06
8,2010,1.71806e+06
8,2011,1.75068e+06
8,2012,1.70172e+06
8,2013,1.7565e+06
9,2009,1.97122e+06
9,2010,1.93845e+06
9,2011,1.95107e+06
9,2012,1.95049e+06
9,2013,1.95044e+06
10,2009,690679
10,2010,716803
10,2011,676525
10,2012,612668
10,2013,623378
11,2009,1.06341e+06
11,2010,1.10709e+06
11,2011,1.14661e+06
11,2012,1.15459e+06
11,2013,1.17714e+06
