"rgn_id","year","tonnes"
1,2009,995312
1,2010,1.0074e+06
1,2011,1.06161e+06
1,2012,1.07929e+06
1,2013,1.07926e+06
2,2009,253317
2,2010,253292
2,2011,251761
2,2012,252570
2,2013,230539
3,2009,16459
3,2010,15754
3,2011,17051
3,2012,16516
3,2013,53437
4,2009,2.37089e+06
4,2010,2.35089e+06
4,2011,2.38444e+06
4,2012,2.36332e+06
4,2013,2.31518e+06
5,2009,562663
5,2010,570354
5,2011,568108
5,2012,566085
5,2013,553787
6,2009,21865
6,2010,21531
6,2011,21457
6,2012,20387
6,2013,19639
7,2009,2.66638e+06
7,2010,2.821e+06
7,2011,3.0302e+06
7,2012,3.16019e+06
7,2013,3.192e+06
8,2009,1.85926e+06
8,2010,1.90847e+06
8,2011,1.91656e+06
8,2012,1.92715e+06
8,2013,1.9373e+06
9,2009,1.41587e+06
9,2010,1.42959e+06
9,2011,1.45262e+06
9,2012,1.51046e+06
9,2013,1.49082e+06
10,2009,662979
10,2010,662954
10,2011,665281
10,2012,666603
10,2013,650599
11,2009,961122
11,2010,994715
11,2011,1.0503e+06
11,2012,1.10932e+06
11,2013,1.12126e+06
