"rgn_id","year","popsum"
1,2005,5377523.29446207
2,2005,2473042.3815615
3,2005,52782664.7777331
4,2005,16776212.6653361
5,2005,26185385.1125569
6,2005,14584375.9238946
7,2005,20719700.2977239
8,2005,17649473.0210509
9,2005,1562816.76212355
10,2005,2355559.26874751
11,2005,10156927.0118002
1,2006,4752762.05761108
2,2006,2168963.43553796
3,2006,47381658.3812343
4,2006,14843609.0803777
5,2006,23195287.8232833
6,2006,12854938.6136558
7,2006,18139057.5217068
8,2006,15726580.004269
9,2006,1381267.93697792
10,2006,2068070.87794122
11,2006,8899517.63189058
1,2007,4798122.74807891
2,2007,2177084.30757575
3,2007,48648545.2261013
4,2007,15103472.1240776
5,2007,23545229.4840436
6,2007,12970969.2261844
7,2007,18190288.6576933
8,2007,16024012.1105752
9,2007,1398445.2119929
10,2007,2079081.80226651
11,2007,8969221.28371624
1,2008,4843483.30606204
2,2008,2185205.19398628
3,2008,49915431.6364444
4,2008,15363334.5883599
5,2008,23895170.8581733
6,2008,13086999.7227338
7,2008,18241519.5957788
8,2008,16321443.8247424
9,2008,1415622.46268924
10,2008,2090092.71504052
11,2008,9038924.50080197
1,2009,4888843.8533298
2,2009,2193326.01619414
3,2009,51182316.410594
4,2009,15623197.4402256
5,2009,24245111.9836378
6,2009,13203030.3580288
7,2009,18292750.4468758
8,2009,16618875.2454126
9,2009,1432799.67891855
10,2009,2101103.57784357
11,2009,9108627.47251461
1,2010,5633813.79688839
2,2010,2518525.74247905
3,2010,60037499.0811352
4,2010,18279654.3578904
5,2010,28198861.4149506
6,2010,15249274.2717036
7,2010,21011467.4698821
8,2010,19346163.4136046
9,2010,1660774.33064421
10,2010,2418907.0993346
11,2010,10561787.8155188
1,2011,4938055.82092944
2,2011,2195807.08759953
3,2011,53467316.8740546
4,2011,16040384.8357635
5,2011,24765496.0024928
6,2011,13308484.2856626
7,2011,18243423.4357918
8,2011,17277046.3214484
9,2011,1454309.98851258
10,2011,2105268.44709809
11,2011,9168444.36733533
1,2012,4941907.11366253
2,2012,2190167.33690992
3,2012,54485431.8434518
4,2012,16197710.0111862
5,2012,24935938.5744746
6,2012,13297908.2034034
7,2012,18142865.9214849
8,2012,17637786.2524733
9,2012,1458643.03004938
10,2012,2098422.40898699
11,2012,9158557.8810656
1,2013,4945758.38540684
2,2013,2184527.50600846
3,2013,55503545.2541981
4,2013,16355034.8649277
5,2013,25106381.0445426
6,2013,13287331.7086662
7,2013,18042307.9998292
8,2013,17998525.5371438
9,2013,1462976.05831416
10,2013,2091576.40179058
11,2013,9148671.31309716
1,2014,4949609.516024
2,2014,2178887.78209596
3,2014,56521658.4553657
4,2014,16512359.6944869
5,2014,25276823.4220841
6,2014,13276755.1729604
7,2014,17941750.0092418
8,2014,18359264.9136785
9,2014,1467309.0600483
10,2014,2084730.30314544
11,2014,9138784.51107367
1,2015,5652485.26159791
2,2015,2485279.5222994
3,2015,65868200.3379852
4,2015,19195309.4762576
5,2015,29184963.2625574
6,2015,15189447.1902257
7,2015,20433781.2079117
8,2015,21404374.1288232
9,2015,1685133.38935369
10,2015,2380042.91172458
11,2015,10509255.1357222
