"rgn_id","year","species","tonnes"
1,2009,"Marine fishes nei",40008
1,2010,"Marine fishes nei",44688
1,2011,"Marine fishes nei",61165
1,2012,"Marine fishes nei",57823
1,2013,"Marine fishes nei",59002
1,2009,"Marine molluscs nei",24997
1,2010,"Marine molluscs nei",26672
1,2011,"Marine molluscs nei",27558
1,2012,"Marine molluscs nei",27603
1,2013,"Marine molluscs nei",28040
1,2009,"Aquatic plants nei",831
1,2010,"Aquatic plants nei",887
1,2011,"Aquatic plants nei",1452
1,2012,"Aquatic plants nei",1857
1,2013,"Aquatic plants nei",1862
1,2009,"Marine molluscs nei",1.66352e+06
1,2010,"Marine molluscs nei",1.785e+06
1,2011,"Marine molluscs nei",1.91543e+06
1,2012,"Marine molluscs nei",2.09963e+06
1,2013,"Marine molluscs nei",2.28288e+06
1,2009,"Aquatic plants nei",248235
1,2010,"Aquatic plants nei",264867
1,2011,"Aquatic plants nei",311413
1,2012,"Aquatic plants nei",325575
1,2013,"Aquatic plants nei",319705
1,2009,"Aquatic invertebrates nei",165575
1,2010,"Aquatic invertebrates nei",192584
1,2011,"Aquatic invertebrates nei",118164
1,2012,"Aquatic invertebrates nei",123138
1,2013,"Aquatic invertebrates nei",136124
2,2009,"Marine fishes nei",14718
2,2010,"Marine fishes nei",12378
2,2011,"Marine fishes nei",12796
2,2012,"Marine fishes nei",12173
2,2013,"Marine fishes nei",11080
2,2009,"Marine molluscs nei",15568
2,2010,"Marine molluscs nei",19160
2,2011,"Marine molluscs nei",17773
2,2012,"Marine molluscs nei",17866
2,2013,"Marine molluscs nei",18882
2,2009,"Aquatic plants nei",2441
2,2010,"Aquatic plants nei",1441
2,2011,"Aquatic plants nei",1645
2,2012,"Aquatic plants nei",1647
2,2013,"Aquatic plants nei",2364
2,2009,"Marine molluscs nei",264007
2,2010,"Marine molluscs nei",291124
2,2011,"Marine molluscs nei",272552
2,2012,"Marine molluscs nei",341718
2,2013,"Marine molluscs nei",409779
2,2009,"Aquatic plants nei",0
2,2010,"Aquatic plants nei",250
2,2011,"Aquatic plants nei",0
2,2012,"Aquatic plants nei",0
2,2013,"Aquatic plants nei",0
2,2009,"Aquatic invertebrates nei",3833
2,2010,"Aquatic invertebrates nei",4955
2,2011,"Aquatic invertebrates nei",6754
2,2012,"Aquatic invertebrates nei",8657
2,2013,"Aquatic invertebrates nei",10165
3,2009,"Marine fishes nei",2142
3,2010,"Marine fishes nei",2952
3,2011,"Marine fishes nei",3454
3,2012,"Marine fishes nei",3666
3,2013,"Marine fishes nei",3521
3,2009,"Marine molluscs nei",11922
3,2010,"Marine molluscs nei",11210
3,2011,"Marine molluscs nei",9846
3,2012,"Marine molluscs nei",10619
3,2013,"Marine molluscs nei",8748
3,2009,"Aquatic plants nei",3
3,2010,"Aquatic plants nei",50
3,2011,"Aquatic plants nei",0
3,2012,"Aquatic plants nei",0
3,2013,"Aquatic plants nei",0
3,2009,"Marine molluscs nei",0
3,2010,"Marine molluscs nei",0
3,2011,"Marine molluscs nei",0
3,2012,"Marine molluscs nei",0
3,2013,"Marine molluscs nei",0
3,2009,"Aquatic plants nei",0
3,2010,"Aquatic plants nei",0
3,2011,"Aquatic plants nei",0
