"rgn_id","category","value","X","X.1","X.2","X.3"
1,"VU",6,NA,NA,NA,NA
1,"NT",1,NA,NA,NA,NA
1,"LC",5,NA,NA,NA,NA
1,"EN",7,NA,NA,NA,NA
1,"CR",1,NA,NA,NA,NA
2,"VU",6,NA,NA,NA,NA
2,"NT",2,NA,NA,NA,NA
2,"LC",8,NA,NA,NA,NA
2,"EN",5,NA,NA,NA,NA
3,"CR",2,NA,NA,NA,NA
3,"EN",6,NA,NA,NA,NA
3,"LC",9,NA,NA,NA,NA
3,"NT",2,NA,NA,NA,NA
3,"VU",5,NA,NA,NA,NA
4,"CR",2,NA,NA,NA,NA
4,"EN",7,NA,NA,NA,NA
4,"LC",10,NA,NA,NA,NA
4,"NT",1,NA,NA,NA,NA
4,"VU",7,NA,NA,NA,NA
5,"CR",1,NA,NA,NA,NA
5,"EN",6,NA,NA,NA,NA
5,"VU",3,NA,NA,NA,NA
5,"LC",6,NA,NA,NA,NA
5,"CR",1,NA,NA,NA,NA
5,"EN",4,NA,NA,NA,NA
5,"LC",8,NA,NA,NA,NA
5,"NT",1,NA,NA,NA,NA
5,"VU",7,NA,NA,NA,NA
6,"CR",2,NA,NA,NA,NA
6,"EN",2,NA,NA,NA,NA
6,"LC",7,NA,NA,NA,NA
6,"NT",2,NA,NA,NA,NA
6,"VU",4,NA,NA,NA,NA
7,"CR",2,NA,NA,NA,NA
7,"EN",4,NA,NA,NA,NA
7,"LC",9,NA,NA,NA,NA
7,"NT",1,NA,NA,NA,NA
7,"VU",4,NA,NA,NA,NA
9,"VU",3,NA,NA,NA,NA
9,"LC",3,NA,NA,NA,NA
9,"EN",3,NA,NA,NA,NA
10,"VU",2,NA,NA,NA,NA
10,"LC",6,NA,NA,NA,NA
10,"NT",1,NA,NA,NA,NA
10,"EN",3,NA,NA,NA,NA
11,"VU",7,NA,NA,NA,NA
11,"LC",4,NA,NA,NA,NA
11,"CR",1,NA,NA,NA,NA
11,"EN",7,NA,NA,NA,NA
NA,"",NA,NA,NA,NA,NA
NA,"",NA,NA,NA,NA,NA
NA,"",NA,NA,NA,NA,NA
NA,"",NA,NA,NA,NA,NA
NA,"",NA,NA,NA,NA,NA
NA,"",NA,NA,NA,NA,NA
NA,"",NA,NA,NA,NA,NA
NA,"",NA,NA,NA,NA,NA
NA,"",NA,NA,NA,NA,NA
NA,"",NA,NA,NA,NA,NA
NA,"",NA,NA,NA,NA,NA
