"rgn_id","year","rmb"
1,2009,15800
1,2010,17712
1,2011,20455
1,2012,23222
1,2013,25578
2,2009,14785
2,2010,16263
2,2011,18292
2,2012,20543
2,2013,22580
3,2009,21430
3,2010,24292
3,2011,26920
3,2012,29626
3,2013,32293
4,2009,17811
4,2010,19945
4,2011,22791
4,2012,25755
4,2013,28264
5,2009,20552
5,2010,22944
5,2011,26340
5,2012,29677
5,2013,32537
6,2009,28838
6,2010,31838
6,2011,36230
6,2012,40188
6,2013,43851
7,2009,24611
7,2010,27359
7,2011,30970
7,2012,34550
7,2013,37850
8,2009,19557
8,2010,21781
8,2011,24907
8,2012,28055
8,2013,30816
9,2009,21574
9,2010,23897
9,2011,26897
9,2012,30226
9,2013,33090
10,2009,15451
10,2010,17063
10,2011,18854
10,2012,21242
10,2013,23305
11,2009,13751
11,2010,15581
11,2011,18369
11,2012,20917
11,2013,22928
