"rgn_id","year","score"
1,2009,NA
1,2010,NA
1,2011,NA
1,2012,NA
1,2013,NA
2,2009,NA
2,2010,NA
2,2011,NA
2,2012,NA
2,2013,NA
3,2009,NA
3,2010,NA
3,2011,NA
3,2012,NA
3,2013,NA
4,2009,NA
4,2010,NA
4,2011,NA
4,2012,NA
4,2013,NA
5,2009,NA
5,2010,NA
5,2011,NA
5,2012,NA
5,2013,NA
6,2009,NA
6,2010,NA
6,2011,NA
6,2012,NA
6,2013,NA
7,2009,NA
7,2010,NA
7,2011,NA
7,2012,NA
7,2013,NA
8,2009,NA
8,2010,NA
8,2011,NA
8,2012,NA
8,2013,NA
9,2009,NA
9,2010,NA
9,2011,NA
9,2012,NA
9,2013,NA
10,2009,NA
10,2010,NA
10,2011,NA
10,2012,NA
10,2013,NA
11,2009,NA
11,2010,NA
11,2011,NA
11,2012,NA
11,2013,NA
