"rgn_id","year","industry","jobs"
3,2007,"fishing",95.1269
2,2007,"fishing",51.8385
1,2007,"fishing",175.246
4,2007,"fishing",285.979
6,2007,"fishing",113.961
5,2007,"fishing",104.514
7,2007,"fishing",229.237
8,2007,"fishing",232.167
9,2007,"fishing",451.718
10,2007,"fishing",61.5844
11,2007,"fishing",72.0477
3,2008,"fishing",97.1376
2,2008,"fishing",52.9624
1,2008,"fishing",178.912
4,2008,"fishing",292.011
6,2008,"fishing",116.386
5,2008,"fishing",106.702
7,2008,"fishing",234.027
8,2008,"fishing",237.075
9,2008,"fishing",461.239
10,2008,"fishing",62.8854
11,2008,"fishing",73.5855
3,2009,"fishing",98.6872
2,2009,"fishing",53.7968
1,2009,"fishing",181.833
4,2009,"fishing",296.719
6,2009,"fishing",118.293
5,2009,"fishing",108.43
7,2009,"fishing",237.841
8,2009,"fishing",240.89
9,2009,"fishing",468.689
10,2009,"fishing",63.8986
11,2009,"fishing",74.7775
3,2010,"fishing",101.143
2,2010,"fishing",55.1146
1,2010,"fishing",186.266
4,2010,"fishing",304.027
6,2010,"fishing",121.168
5,2010,"fishing",111.126
7,2010,"fishing",243.652
8,2010,"fishing",246.82
9,2010,"fishing",480.25
10,2010,"fishing",65.4561
11,2010,"fishing",76.5746
3,2011,"fishing",103.251
2,2011,"fishing",56.3189
1,2011,"fishing",190.241
4,2011,"fishing",310.531
6,2011,"fishing",123.758
5,2011,"fishing",113.475
7,2011,"fishing",248.891
8,2011,"fishing",252.06
9,2011,"fishing",490.488
10,2011,"fishing",66.9011
11,2011,"fishing",78.2605
3,2007,"oil_gas",3.38117
2,2007,"oil_gas",1.84254
1,2007,"oil_gas",6.22892
4,2007,"oil_gas",10.1648
6,2007,"oil_gas",4.0506
5,2007,"oil_gas",3.71482
7,2007,"oil_gas",8.14796
8,2007,"oil_gas",8.25209
9,2007,"oil_gas",16.0558
10,2007,"oil_gas",2.18894
11,2007,"oil_gas",2.56085
3,2008,"oil_gas",3.46619
2,2008,"oil_gas",1.88987
1,2008,"oil_gas",6.38419
4,2008,"oil_gas",10.4199
6,2008,"oil_gas",4.15303
5,2008,"oil_gas",3.80748
7,2008,"oil_gas",8.35085
8,2008,"oil_gas",8.45963
9,2008,"oil_gas",16.4585
