"rgn_id","year","km2"
1,1994,125620
1,1995,141410
1,1996,155003
1,1997,191917
1,1998,201145
1,1999,229489
1,2000,236483
1,2001,246183
1,2002,278588
1,2003,381090
1,2004,407356
1,2005,449302
1,2006,485800
1,2007,294800
1,2008,411556
1,2009,630700
1,2010,763101
1,2011,751387
1,2012,813035
1,2013,942050
2,1994,48720
2,1995,50850
2,1996,56274
2,1997,51567
2,1998,71628
2,1999,59891
2,2000,69942
2,2001,74773
2,2002,75296
2,2003,77588
2,2004,81733
2,2005,90404
2,2006,102302
2,2007,92960
2,2008,109755
2,2009,121013
2,2010,123810
2,2011,134264
2,2012,134682
2,2013,117928
3,1994,4430
3,1995,4160
3,1996,5055
3,1997,5195
3,1998,4473
3,1999,4302
3,2000,4438
3,2001,4394
3,2002,5816
3,2003,5087
3,2004,5361
3,2005,4807
3,2006,5511
3,2007,6840
3,2008,4369
3,2009,4304
3,2010,3982
3,2011,4110
3,2012,3992
3,2013,3169
4,1994,131570
4,1995,131870
4,1996,161633
4,1997,182695
4,1998,188816
4,1999,224090
4,2000,280476
4,2001,289992
4,2002,292768
4,2003,358349
4,2004,389568
4,2005,407390
4,2006,420258
4,2007,406170
4,2008,426217
4,2009,441403
4,2010,500946
4,2011,512126
4,2012,523705
4,2013,546814
5,1994,76490
5,1995,87940
5,1996,99040
5,1997,105760
5,1998,110047
5,1999,115167
5,2000,144180
5,2001,143780
5,2002,150313
5,2003,156947
5,2004,166280
5,2005,172950
5,2006,180680
5,2007,148160
5,2008,160089
5,2009,172754
5,2010,192426
5,2011,201073
5,2012,199352
5,2013,193807
6,1994,1080
6,1995,860
6,1996,743
6,1997,605
6,1998,602
6,1999,705
6,2000,722
6,2001,732
6,2002,696
6,2003,466
6,2004,350
6,2005,84
6,2006,80
6,2007,13
6,2008,0
6,2009,0
6,2010,0
6,2011,0
6,2012,0
6,2013,0
7,1994,45610
7,1995,50790
7,1996,57214
7,1997,63718
7,1998,70182
7,1999,87512
7,2000,106358
7,2001,112746
7,2002,116909
7,2003,117408
7,2004,118285
7,2005,112436
7,2006,109055
7,2007,56750
7,2008,96139
7,2009,94514
7,2010,93905
7,2011,90839
7,2012,89747
7,2013,89358
8,1994,78100
8,1995,83320
8,1996,92099
8,1997,104632
8,1998,114880
8,1999,122034
8,2000,130283
8,2001,134327
8,2002,137987
8,2003,139420
8,2004,147494
8,2005,152691
8,2006,152298
8,2007,110120
8,2008,120704
8,2009,133942
8,2010,137636
8,2011,142315
8,2012,145486
8,2013,154453
9,1994,105710
9,1995,131870
9,1996,138523
9,1997,171003
9,1998,176444
9,1999,180089
9,2000,194885
9,2001,202792
9,2002,208174
9,2003,216763
9,2004,221247
9,2005,224399
9,2006,234635
9,2007,159295
9,2008,189717
9,2009,194766
9,2010,199258
9,2011,203410
9,2012,201834
9,2013,197198
10,1994,29900
10,1995,41000
10,1996,48436
10,1997,52222
10,1998,55570
10,1999,58597
10,2000,61410
10,2001,60888
10,2002,61774
10,2003,62269
10,2004,62061
10,2005,61974
10,2006,64336
10,2007,47250
10,2008,47380
10,2009,50670
10,2010,51287
10,2011,52212
10,2012,53249
10,2013,54001
11,1994,5790
11,1995,6930
11,1996,7594
11,1997,8483
11,1998,10620
11,1999,13070
11,2000,14526
11,2001,15851
11,2002,16433
11,2003,16765
11,2004,17717
11,2005,18094
11,2006,19164
11,2007,9120
11,2008,12983
11,2009,15247
11,2010,14529
11,2011,14646
11,2012,15845
11,2013,16791
