"am_sid","sciname","am_category","iucn_sid","iucn_category","popn_trend","parent_sid","subpop_sid","popn_category","info_source","spp_group","id_no","objectid","spatial_source","category_score","trend_score"
"ITS-552925","Thymops birsteini",NA,170038,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170038,NA,"iucn",0,NA
"URM-M-1454","Limulus polyphemus",NA,11987,"NT",NA,NA,NA,"NT","iucn",NA,NA,NA,"am",0.2,NA
"AFD-Pul-494","Auriculastra subula","LC",184918,"LC","Unknown",NA,NA,"LC","iucn",NA,NA,NA,"am",0,NA
"ITS-567398","Conus stearnsii",NA,192532,"VU","Unknown",NA,NA,"VU","iucn","CONUS",192532,NA,"iucn",0.4,NA
"ITS-70162","Neritina virginea",NA,189436,"LC","Stable",NA,NA,"LC","iucn",NA,NA,NA,"am",0,0
"ITS-656358","Conus vexillum",NA,192778,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192778,NA,"iucn",0,NA
"ITS-69498","Haliotis cracherodii","CR",41880,"CR","Decreasing",NA,NA,"CR","iucn",NA,NA,NA,"am",0.8,-0.5
"ITS-71951","Cerithidea pliculosa","LC",189357,"LC","Unknown",NA,NA,"LC","iucn",NA,NA,NA,"am",0,NA
"SLB-184905","Eduarctus martensii","LC",170037,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170037,NA,"iucn",0,NA
"ITS-553024","Scyllarus pygmaeus","LC",170056,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170056,NA,"iucn",0,NA
"SLB-184955","Petrarctus rugosus","LC",170055,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170055,NA,"iucn",0,NA
"SLB-184912","Galearctus aurora","LC",185076,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",185076,NA,"iucn",0,NA
"SLB-184897","Crenarctus bicuspidatus","LC",185093,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",185093,NA,"iucn",0,NA
"SLB-184895","Chelarctus cultrifer","LC",185080,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",185080,NA,"iucn",0,NA
"ITS-660110","Pentacheles laevis","LC",185038,"LC","Stable",NA,NA,"LC","iucn","LOBSTERS",185038,NA,"iucn",0,0
"ITS-660116","Polycheles sculptus",NA,185012,"LC","Stable",NA,NA,"LC","iucn",NA,NA,NA,"am",0,0
"SLB-184838","Stereomastis surda","LC",185023,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",185023,NA,"iucn",0,NA
"ITS-660118","Scyllarides squammosus","LC",170008,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170008,NA,"iucn",0,NA
"ITS-660225","Jasus edwardsii","LC",170025,"LC","Stable",NA,NA,"LC","iucn","LOBSTERS",170025,NA,"iucn",0,0
"ITS-75285","Conus daucus",NA,192370,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192370,NA,"iucn",0,NA
"ITS-75291","Conus jaspideus",NA,192338,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192637,NA,"iucn_alias",0,NA
"ITS-75291","Conus jaspideus",NA,192637,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192637,NA,"iucn",0,NA
"ITS-75305","Conus mazei",NA,192553,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192553,NA,"iucn",0,NA
"ITS-75309","Conus villepinii",NA,192444,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192444,NA,"iucn",0,NA
"ITS-75310","Conus amphiurgus",NA,192340,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192340,NA,"iucn",0,NA
"ITS-75314","Conus stimpsoni",NA,192683,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192683,NA,"iucn",0,NA
"ITS-75327","Conus brunneus",NA,192449,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192449,NA,"iucn",0,NA
