"rgn_id","year","kilowatt"
1,1994,517452
1,1995,568627
1,1996,599648
1,1997,652988
1,1998,701839
1,1999,839938
1,2000,893139
1,2001,919400
1,2002,956257
1,2003,962999
1,2004,946418
1,2005,987187
1,2006,987187
1,2007,955399
1,2008,1.02041e+06
1,2009,1.05838e+06
1,2010,1.05965e+06
1,2011,1.05326e+06
1,2012,1.01679e+06
1,2013,935201
2,1994,236234
2,1995,236197
2,1996,258513
2,1997,296429
2,1998,294244
2,1999,333000
2,2000,325143
2,2001,342103
2,2002,351350
2,2003,333335
2,2004,311679
2,2005,291745
2,2006,299394
2,2007,272950
2,2008,310741
2,2009,311723
2,2010,309085
2,2011,302116
2,2012,289592
2,2013,316550
3,1994,44117
3,1995,39653
3,1996,45419
3,1997,40275
3,1998,44776
3,1999,49296
3,2000,62503
3,2001,64167
3,2002,60095
3,2003,57975
3,2004,55594
3,2005,45256
3,2006,45256
3,2007,30348
3,2008,30607
3,2009,36203
3,2010,36003
3,2011,36036
3,2012,44104
3,2013,41691
4,1994,819685
4,1995,990479
4,1996,1.10524e+06
4,1997,1.16542e+06
4,1998,1.25329e+06
4,1999,1.2623e+06
4,2000,1.32312e+06
4,2001,1.41875e+06
4,2002,1.48253e+06
4,2003,1.47564e+06
4,2004,1.34035e+06
4,2005,1.41801e+06
4,2006,1.354e+06
4,2007,1.21528e+06
4,2008,1.24022e+06
4,2009,1.30385e+06
4,2010,1.40192e+06
4,2011,1.45933e+06
4,2012,1.36125e+06
4,2013,1.36274e+06
5,1994,490174
5,1995,552661
5,1996,646174
5,1997,739333
5,1998,706518
5,1999,718368
5,2000,729679
5,2001,629832
5,2002,556232
5,2003,576767
5,2004,579110
5,2005,582574
5,2006,582574
5,2007,575394
5,2008,561352
5,2009,550547
5,2010,539160
5,2011,605883
5,2012,600487
5,2013,581788
6,1994,152682
6,1995,140907
6,1996,161251
6,1997,159306
6,1998,161365
6,1999,148825
6,2000,149937
6,2001,150970
6,2002,177105
6,2003,124461
6,2004,119815
6,2005,119184
6,2006,151572
6,2007,58248
6,2008,55190
6,2009,59122
6,2010,51557
6,2011,53499
6,2012,50595
6,2013,42751
7,1994,2.15676e+06
7,1995,2.80747e+06
7,1996,3.03298e+06
7,1997,3.05108e+06
7,1998,3.35043e+06
7,1999,3.48358e+06
7,2000,3.75018e+06
7,2001,3.7889e+06
7,2002,3.81509e+06
7,2003,3.64685e+06
7,2004,3.53844e+06
7,2005,3.47696e+06
7,2006,3.47696e+06
7,2007,3.48011e+06
7,2008,3.46412e+06
7,2009,3.45617e+06
7,2010,3.30454e+06
7,2011,3.29954e+06
7,2012,3.37425e+06
7,2013,3.26623e+06
8,1994,1.22418e+06
8,1995,1.44991e+06
8,1996,1.51331e+06
8,1997,1.55425e+06
8,1998,1.59632e+06
8,1999,1.65362e+06
8,2000,1.6013e+06
8,2001,1.58973e+06
8,2002,1.65108e+06
8,2003,1.49729e+06
8,2004,1.6944e+06
8,2005,1.70526e+06
8,2006,1.82725e+06
8,2007,1.69951e+06
8,2008,1.76551e+06
8,2009,1.76266e+06
8,2010,1.71806e+06
8,2011,1.75068e+06
8,2012,1.70172e+06
8,2013,1.7565e+06
9,1994,1.64113e+06
9,1995,1.82282e+06
9,1996,2.10684e+06
9,1997,2.16946e+06
9,1998,2.25026e+06
9,1999,2.21131e+06
9,2000,2.2078e+06
9,2001,2.17362e+06
9,2002,2.23358e+06
9,2003,2.18737e+06
9,2004,2.14713e+06
9,2005,2.08807e+06
9,2006,2.0772e+06
9,2007,2.04114e+06
9,2008,1.92216e+06
9,2009,1.97122e+06
9,2010,1.93845e+06
9,2011,1.95107e+06
9,2012,1.95049e+06
9,2013,1.95044e+06
10,1994,327910
10,1995,377242
10,1996,439860
10,1997,487468
10,1998,474120
10,1999,489356
10,2000,506726
10,2001,528795
10,2002,586316
10,2003,682132
10,2004,694144
10,2005,693758
10,2006,693166
10,2007,694034
10,2008,761270
10,2009,690679
10,2010,716803
10,2011,676525
10,2012,612668
10,2013,623378
11,1994,357077
11,1995,375337
11,1996,377372
11,1997,414648
11,1998,438306
11,1999,445842
11,2000,468465
11,2001,521153
11,2002,578867
11,2003,591899
11,2004,653557
11,2005,699267
11,2006,723945
11,2007,728946
11,2008,1.03467e+06
11,2009,1.06341e+06
11,2010,1.10709e+06
11,2011,1.14661e+06
11,2012,1.15459e+06
11,2013,1.17714e+06
