rgn_id,year,km2
1,2009,25650.38
1,2010,25650.38
1,2011,25650.38
1,2012,25650.38
2,2009,11907.5803
2,2010,11907.5803
2,2011,11942.4073
2,2012,11967.5273
3,2009,7436.6902
3,2010,7436.6902
3,2011,7474.8948
3,2012,7491.6048
4,2009,1654.83
4,2010,1654.83
4,2011,1679.7
4,2012,1874.99
5,2009,2341.3315
5,2010,2372.3915
5,2011,2372.3915
5,2012,2683.3915
6,2009,938.21
6,2010,938.21
6,2011,938.21
6,2012,938.21
7,2009,4746.199
7,2010,4746.199
7,2011,5260.749
7,2012,5307.749
8,2009,7911.3779
8,2010,7971.3358
8,2011,8336.7373
8,2012,8483.7873
9,2009,990.0
9,2010,990.0
9,2011,990.0
9,2012,990.0
10,2009,70.17
10,2010,70.17
10,2011,70.17
10,2012,70.17
11,2009,34476.69
11,2010,34476.69
11,2011,34476.69
11,2012,34476.69
