rgn_id,species_latin,species_common,CHN_class,IUCN_class,value
HN,Carcinoscorpius rotundicauda,Carcinoscorpius rotundicauda,,EN,0.6
HN,Actinopyga echinites ,Actinopyga echinites,,EN,0.6
HN,Actinopyga mauritiana ,Actinopyga mauritiana,,EN,0.6
HN,Actinopyga miliaris,Actinopyga miliaris,,EN,0.6
HN,Bohadschia argus ,Bohadschia argus Jaeger,,EN,0.6
HN,Bohadschia marmorata ,Bohadschia marmorata Jaeger,,EN,0.6
HN,Holothuria atra,Holothuria atra Jaeger,,EN,0.6
HN,Holothuria edulis ,Holothuria edulis Lesson,,EN,0.6
HN,Holothuria pardalis ,Holothuria pardalis Selenka,,EN,0.6
HN,Holothuria fuscocinerea ,Holothuria fuscocinerea Jaeger,,EN,0.6
HN,Holothuria leucospilota,Holothuria leucospilota,,EN,0.6
HN,Holothuria pervicax ,Holothuria pervicax Selenka,,EN,0.6
HN,Holothuria scabra ,Holothuria scabra Jaeger,,EN,0.6
HN,Holothuria albiventer ,Holothuria albiventer Semper,,EN,0.6
HN,Holothuria martensi ,Holothuria martensi Semper,,EN,0.6
HN,Holothuria nobilis ,Holothuria nobilis,,EN,0.6
HN,Holothuria difficilis ,Holothuria difficilis Semper,,EN,0.6
HN,Holothuria moebii ,Holothuria moebii Ludwig,,EN,0.6
HN,Holothuria sinica Liao,Holothuria sinica Liao,,EN,0.6
HN,Holothuria cinerascens ,Holothuria cinerascens,,EN,0.6
HN,Holothuria flavomaculata ,Holothuria flavomaculata Semper,,EN,0.6
HN,Holothuria olivacea ,Holothuria olivacea,,EN,0.6
HN,Holothuria spinifera ,Holothuria spinifera,,EN,0.6
HN,Holothuria hilla ,Holothuria hilla,,EN,0.6
HN,Holothuria impatiens ,Holothuria impatiens,,EN,0.6
HN,Holothuria rigidus ,Holothuria rigida,,EN,0.6
HN,Labidodemas pertinax ,Labidodemas pertinax,,EN,0.6
HN,Stichopus chloronotus ,Stichopus chloronotus,,EN,0.6
HN,Stichopus horrens ,Stichopus horrens Selenka,,EN,0.6
HN,Mensamaria intercedens ,Mensamaria intercedens,,EN,0.6
HN,Colochirus anceps ,Colochirus anceps,,EN,0.6
HN,Colochirus quadrangularis ,Colochirus quadrangularis Troschel,,EN,0.6
HN,Ohshimella ehrenbergi ,Ohshimella ehrenbergi,,EN,0.6
HN,Cladolabes schmeltzi,Cladolabes schmeltzi,,EN,0.6
HN,Protoreaster nodosus,Protoreaster nodosus,,EN,0.6
HN,Culcita novaeguineae ,Culcita novaeguineae Muller & Troschel,,EN,0.6
HN,Linckia laevigata ,Linckia laevigata,,EN,0.6
HN,Asteropsis carinifera ,Asteropsis carinifera,,EN,0.6
HN,Stomopneustes variolaris ,Stomopneustes variolaris,,EN,0.6
HN,Tripneustes gratilla ,Tripneustes gratilla ,,EN,0.6
HN,"Anthocidaris crassispina 
 
",Anthocidaris crassispina,,EN,0.6
HN,Heterocentrotus mammillatus ,Heterocentrotus mammillatus,,EN,0.6
HN,Eucidaris metularia ,Eucidaris metularia,,EN,0.6
HN,Branchiostoma belcheri Gray,Branchiostoma belcheri,,EN,0.6
