rgn_id,species_latin,species_common,CHN_class,IUCN_class,value
JS,Egretta eulophotes,Chinese Egret,2,VU,0.4
JS,Chlidonias niger,Black Tern,2,,0.17
JS,Coelomactra antiquata,Coelomactra antiquata,,EN,0.6
JS,Fenneropenaeus chinensis,Fenneropenaeus chinensis,,EN,0.6
JS,Metapenaeus joyneri,Metapenaeus joyneri,,EN,0.6
JS,Palaemon yamashitai ,Palaemon yamashitai Fujino & Miyake,,EN,0.6
JS,Hemicentrotus pulcherrimus ,Hemicentrotus pulcherrimus,,EN,0.6
SH,Sousa chinensis,"Indo-pacific Hump-backed Dolphin, Indo-Pacific Humpbacked Dolphin, Indo-pacific Humpback Dolphin, Chinese White Dolphin",1,,0.46
SH,Acipenser sinensis,Chinese Sturgeon,1,,0.46
SH,Pseudorca crassidens,False Killer Whale,2,,0.17
SH,Hippocampus kelloggi,Great Seahorse,2,,0.17
SH,Lepidochelys olivacea,Olive Ridley Sea Turtle,2,,0.17
SH,Lagenorhynchus obliquidens ,Pacific White-sided Dolphin,2,LC,0
SH,Tursiops truncatus ,Common Bottlenose Dolphin,2,,0.17
SH,Kogia breviceps,Pygmy Sperm Whale,,DD,0
SH,Balaenoptera acutorostrata,Common Minke Whale,2,LC,0
SH,Megaptera novaeangliae ,Humpback Whale,2,LC,0
SH,Mycteria leucocephala,Painted Stork,1,,0.46
SH,Physeter catodon Linnaeus,"Sperm Whale, Spermacet Whale, Cachelot, Pot Whale",2,,0.17
SH,Hirundapus cochinchinensis ,Silver-backed Needletail,2,,0.17
SH,Platalea leucorodia,Eurasian Spoonbill,2,,0.17
SH,Lipotes vexillifer,Yangze River Dolphin,1,,0.46
SH,Ciconia ciconia ,White Stork,1,,0.46
SH,Delphinus delphis ,short baked common dolphin,2,LC,0
SH,Steno bredanensis ,Rough-toothed Dolphin,2,,0.17
SH,Metapenaeus joyneri,Metapenaeus joyneri,,EN,0.6
SH,Elamenopsis introversus,Elamenopsis introversus,,EN,0.6
SH,Hemicentrotus pulcherrimus ,Hemicentrotus pulcherrimus,,EN,0.6
SH,Heterodontus japonicus ,Heterodontus japonicus Dumeril,,EN,0.6
ZJ,Sousa chinensis,"Indo-pacific Hump-backed Dolphin, Indo-Pacific Humpbacked Dolphin, Indo-pacific Humpback Dolphin, Chinese White Dolphin",1,,0.46
ZJ,Acipenser sinensis,Chinese Sturgeon,1,,0.46
ZJ,Pseudorca crassidens,False Killer Whale,2,,0.17
ZJ,Hippocampus kelloggi,Great Seahorse,2,,0.17
ZJ,Lepidochelys olivacea,Olive Ridley Sea Turtle,2,,0.17
ZJ,Lagenorhynchus obliquidens ,Pacific White-sided Dolphin,2,LC,0
ZJ,Tursiops truncatus ,Common Bottlenose Dolphin,2,,0.17
ZJ,Balaenoptera acutorostrata,Common Minke Whale,2,LC,0
ZJ,Megaptera novaeangliae ,Humpback Whale,2,LC,0
ZJ,Physeter catodon Linnaeus,"Sperm Whale, Spermacet Whale, Cachelot, Pot Whale",2,,0.17
ZJ,Lagenodelphis hosei,"Fraser's Dolphin, Sarawak Dolphin",2,VU,0.4
ZJ,Hirundapus cochinchinensis ,Silver-backed Needletail,2,,0.17
ZJ,"Grampus Griseus 
 
","Risso's Dolphin, Grey Dolphin",,LC,0
ZJ,Haliaeetus albicilla ,White-tailed Eagle,1,,0.46
ZJ,Ciconia ciconia ,White Stork,1,,0.46
ZJ,Delphinus delphis ,short baked common dolphin,2,LC,0
ZJ,Steno bredanensis ,Rough-toothed Dolphin,2,,0.17
ZJ,Chelonia mydas ,Green Turtle,2,,0.17
ZJ,Larus relictus,Relict Gull,1,VU,0.4
ZJ,Fenneropenaeus penicillatus ,Fenneropenaeus penicillatus,,EN,0.6
ZJ,Metapenaeus joyneri,Metapenaeus joyneri,,EN,0.6
ZJ,Tachpleus tridentatus,Tachpleus tridentatus,,EN,0.6
ZJ,Panulirus stimposoni Holthuis,Panulirus stimposoni Holthuis,,EN,0.6
ZJ,Hemicentrotus pulcherrimus ,Hemicentrotus pulcherrimus,,EN,0.6
ZJ,"Anthocidaris crassispina 
",Anthocidaris crassispina,,EN,0.6
ZJ,Hydrolagus tsengi,Hydrolagus tsengi,,EN,0.6
FJ,Tursiops aduncus ,"Indo-pacific Bottlenose Dolphin, Indian Ocean Bottlenose Dolphin",2,,0.17
FJ,Sousa chinensis,"Indo-pacific Hump-backed Dolphin, Indo-Pacific Humpbacked Dolphin, Indo-pacific Humpback Dolphin, Chinese White Dolphin",1,,0.46
FJ,Acipenser sinensis,Chinese Sturgeon,1,,0.46
FJ,Pseudorca crassidens,False Killer Whale,2,,0.17
FJ,"Dugong dugon 
 
",Dugong,1,,0.46
FJ,Hippocampus kelloggi ,Great Seahorse,2,,0.17
FJ,Hemiprocne coronata ,Crested Treeswift,2,,0.17
FJ,Lagenorhynchus obliquidens ,Pacific White-sided Dolphin,2,LC,0
FJ,Tursiops truncatus ,Common Bottlenose Dolphin,2,,0.17
FJ,Balaenoptera acutorostrata,Common Minke Whale,2,LC,0
FJ,Megaptera novaeangliae ,Humpback Whale,2,LC,0
FJ,Physeter catodon Linnaeus,"Sperm Whale, Spermacet Whale, Cachelot, Pot Whale",2,,0.17
FJ,Cephalochordata,Lancelet,2,,0.17
FJ,Stenella coeruleoalba ,"Striped Dolphin, Euphrosyne Dolphin",2,,0.17
FJ,Ziphius cavirostris,"Cuvier's Beaked Whale, Goosebeak Whale, Goose-beaked Whale",2,,0.17
FJ,Dermochelys coriacea ,Leatherback Sea Turtle,2,,0.17
FJ,Phalacrocorax pelagicus,Pelagic Cormorant,2,,0.17
FJ,"Stenella frontalis
","Pantropical Spotted Dolphin, Bridled Dolphin, Narrow-snouted Dolphin",2,,0.17
FJ,Haliaeetus albicilla ,White-tailed Eagle,1,,0.46
FJ,Platalea leucorodia,Eurasian Spoonbill,2,,0.17
FJ,Ciconia ciconia ,White Stork,1,,0.46
FJ,Delphinus delphis ,short baked common dolphin,2,LC,0
FJ,Steno bredanensis ,Rough-toothed Dolphin,2,,0.17
FJ,Chelonia mydas ,Green Turtle,2,,0.17
FJ,Larus relictus,Relict Gull,1,VU,0.4
FJ,Stenella longirostris ,"Spinner Dolphin, Long-beaked Dolphin, Long-snouted Dolphin",2,,0.17
FJ,Pelecanus crispus,Dalmatian Pelican,2,VU,0.4
FJ,Thalasseus bernsteini ,Chinese Crested Tern,2,CR,0.8
FJ,Tachpleus tridentatus,Tachpleus tridentatus,,EN,0.6
FJ,Bellamya turritus,Bellamya turritus,,EN,0.6
FJ,Atrina vexillum ,Atrina vexillum,,EN,0.6
FJ,Pinna bicolor ,Pinna bicolor Gmelin,,EN,0.6
FJ,Coelomactra antiquata,Coelomactra antiquata,,EN,0.6
FJ,Fenneropenaeus merguiensis,Fenneropenaeus merguiensis,,EN,0.6
FJ,Fenneropenaeus penicillatus ,Fenneropenaeus penicillatus,,EN,0.6
FJ,Metapenaeus joyneri,Metapenaeus joyneri,,EN,0.6
FJ,"Panulirus japonicus 
 
",Panulirus japonicus,,EN,0.6
FJ,Panulirus stimposoni Holthuis,Panulirus stimposoni Holthuis,,EN,0.6
FJ,Philyra sagittifera ,Philyra sagittifera,,EN,0.6
FJ,Leucosia sinica,Leucosia sinica Shen & Chen,,EN,0.6
FJ,Elamera longidactylis,Elamera longidactylis Yang & Sun,,EN,0.6
FJ,Halicarcinus longipes ,Halicarcinus longipes Yang & Sun,,EN,0.6
FJ,Holothuria leucospilota,Holothuria leucospilota,,EN,0.6
FJ,Holothuria moebii ,Holothuria moebii Ludwig,,EN,0.6
FJ,Colochirus anceps ,Colochirus anceps,,EN,0.6
FJ,Colochirus quadrangularis ,Colochirus quadrangularis Troschel,,EN,0.6
FJ,Hemicentrotus pulcherrimus ,Hemicentrotus pulcherrimus,,EN,0.6
FJ,"Anthocidaris crassispina 
 
",Anthocidaris crassispina,,EN,0.6
FJ,Branchiostoma belcheri Gray,Branchiostoma belcheri,,EN,0.6
GD,Sousa chinensis,"Indo-pacific Hump-backed Dolphin, Indo-Pacific Humpbacked Dolphin, Indo-pacific Humpback Dolphin, Chinese White Dolphin",1,,0.46
GD,Pseudorca crassidens,False Killer Whale,2,,0.17
GD,Lepidochelys olivacea,Olive Ridley Sea Turtle,2,,0.17
GD,Lagenorhynchus obliquidens ,Pacific White-sided Dolphin,2,LC,0
GD,Tursiops truncatus ,Common Bottlenose Dolphin,2,,0.17
GD,Balaenoptera acutorostrata,Common Minke Whale,2,LC,0
GD,Megaptera novaeangliae ,Humpback Whale,2,LC,0
GD,Mycteria leucocephala,Painted Stork,1,,0.46
GD,Physeter catodon Linnaeus,"Sperm Whale, Spermacet Whale, Cachelot, Pot Whale",2,,0.17
GD,Dermochelys coriacea ,Leatherback Sea Turtle,2,,0.17
GD,Hirundapus cochinchinensis ,Silver-backed Needletail,2,,0.17
GD,Haliaeetus albicilla ,White-tailed Eagle,1,,0.46
GD,Platalea leucorodia,Eurasian Spoonbill,2,,0.17
GD,Fregata andrewsi ,Christmas Frigatebird,1,,0.46
