province,value,year
TJ,"1,601.00",2007
TJ,"1,888.70",2008
TJ,"2,158.10",2009
TJ,"3,021.50",2010
TJ,"3,939.20",2011
HB,"1,232.90",2007
HB,"1,396.60",2008
HB,922.9,2009
HB,"1,152.90",2010
HB,"1,622.00",2011
LN,"1,759.80",2007
LN,"2,074.40",2008
LN,"2,281.20",2009
LN,"2,619.60",2010
LN,"3,391.70",2011
SD,"4,477.80",2007
SD,"5,346.30",2008
SD,"5,820.00",2009
SD,"7,074.50",2010
SD,"8,972.10",2011
SH,"4,321.40",2007
SH,"4,792.50",2008
SH,"4,204.50",2009
SH,"5,224.50",2010
SH,"5,946.30",2011
JS,"1,873.50",2007
JS,"2,114.50",2008
JS,"2,717.40",2009
JS,"3,550.90",2010
JS,"4,722.90",2011
ZJ,"2,244.40",2007
ZJ,"2,677.00",2008
ZJ,"3,392.60",2009
ZJ,"3,883.50",2010
ZJ,"4,947.50",2011
FJ,"2,290.30",2007
FJ,"2,688.20",2008
FJ,"3,202.90",2009
FJ,"3,682.90",2010
FJ,"4,482.80",2011
GD,"4,532.70",2007
GD,"5,825.50",2008
GD,"6,661.00",2009
GD,"8,253.70",2010
GD,"10,506.60",2011
GX,343.5,2007
GX,398.4,2008
GX,443.8,2009
GX,548.7,2010
GX,761,2011
HN,371.1,2007
HN,429.6,2008
HN,473.3,2009
HN,560,2010
HN,752.9,2011
