"rgn_id","value","year"
3,17828.2,2007
3,21174,2008
3,23565.7,2009
3,26942,2010
3,29916,2011
3,29626.4,2012
3,26359.2,2013
2,12336,2007
2,14141.4,2008
2,16683.5,2009
2,17334.4,2010
2,19591.9,2011
2,20543.4,2012
2,15189.6,2013
1,13438.4,2007
1,15836.2,2008
1,17757.7,2009
1,20014.6,2010
1,22879.8,2011
1,23222.7,2012
1,20817.8,2013
4,15366.3,2007
4,17549,2008
4,19336.9,2009
4,21736.9,2010
4,24889.8,2011
4,25755.2,2012
4,19008.3,2013
6,26101.5,2007
6,29759.1,2008
6,32403,2009
6,35738.5,2010
6,40532.3,2011
6,40188.3,2012
6,42173.6,2013
5,17686.5,2007
5,20175.6,2008
5,22494.9,2009
5,25115.4,2010
5,28972,2011
5,29677,2012
5,24755.5,2013
7,22583.8,2007
7,24980.8,2008
7,27119.3,2009
7,30134.8,2010
7,34264.4,2011
7,34550.3,2012
7,29775,2013
8,16983.3,2007
8,19686.2,2008
8,21692.3,2009
8,24149.6,2010
8,27378.1,2011
8,28055.2,2012
8,21217.9,2013
9,19618.9,2007
9,21678.5,2008
9,24116.5,2009
9,26896.9,2010
9,30218.8,2011
9,30226.7,2012
9,23420.7,2013
10,13182.6,2007
10,15393.2,2008
10,17032.9,2009
10,18742.2,2010
10,20846.1,2011
10,21242.8,2012
10,14082.3,2013
11,11792,2007
11,13598.6,2008
11,14909.3,2009
11,16929.6,2010
11,20094.2,2011
11,20917.7,2012
11,15733.3,2013
