"rgn_id","value","year"
3,"7010.06",2007
3,"7,910.78",2008
3,"8687.56",2009
3,"10074.86",2010
3,"12321.22",2011
3,"14025.54",2012
3,"15841",2013
2,"4293.43",2007
2,"4,795.46",2008
2,"5149.67",2009
2,"5957.98",2010
2,"7119.69",2011
2,"8081.39",2012
2,"9101.9",2013
1,"4773.43",2007
1,"5,576.48",2008
1,"5958",2009
1,"6907.93",2010
1,"8296.54",2011
1,"9383.72",2012
1,"10522.7",2013
4,"4985.34",2007
4,"5,641.43",2008
4,"6118.77",2009
4,"6990.28",2010
4,"8342.13",2011
4,"9446.54",2012
4,"10619.9",2013
6,"10144.62",2007
6,"11,440.26",2008
6,"12482.94",2009
6,"13977.96",2010
6,"16053.79",2011
6,"17803.68",2012
6,"19595",2013
5,"6561.01",2007
5,"7,356.47",2008
5,"8003.54",2009
5,"9118.24",2010
5,"10804.95",2011
5,"12201.95",2012
5,"13597.8",2013
7,"8265.15",2007
7,"9,257.93",2008
7,"10007.31",2009
7,"11302.55",2010
7,"13070.69",2011
7,"14551.92",2012
7,"16106",2013
8,"5467.08",2007
8,"6,196.07",2008
8,"6680.18",2009
8,"7426.86",2010
8,"8778.55",2011
8,"9967.17",2012
8,"11184.2",2013
9,"5624.04",2007
9,"6,399.79",2008
9,"6906.93",2009
9,"7890.25",2010
9,"9371.73",2011
9,"10542.84",2012
9,"11669.3",2013
10,"3224.05",2007
10,"3,690.34",2008
10,"3980.44",2009
10,"4543.41",2010
10,"5231.33",2011
10,"6007.55",2012
10,"6790.9",2013
11,"3791.37",2007
11,"4,389.97",2008
11,"4744.36",2009
11,"5275.37",2010
11,"6446.01",2011
11,"7408",2012
11,"8342.6",2013
