"rgn_id","value","year","X"
3,159.1,2007,NA
3,162.5,2008,NA
3,165.1,2009,NA
3,169.2,2010,NA
3,172.7,2011,NA
3,175.1,2012,NA
3,177.4,2013,NA
2,86.7,2007,NA
2,88.6,2008,NA
2,90,2009,NA
2,92.2,2010,NA
2,94.2,2011,NA
2,95.5,2012,NA
2,96.7,2013,NA
1,293.1,2007,NA
1,299.3,2008,NA
1,304.2,2009,NA
1,311.6,2010,NA
1,318.2,2011,NA
1,322.6,2012,NA
1,326.8,2013,NA
4,478.3,2007,NA
4,488.5,2008,NA
4,496.4,2009,NA
4,508.6,2010,NA
4,519.4,2011,NA
4,526.5,2012,NA
4,533.4,2013,NA
6,190.6,2007,NA
6,194.7,2008,NA
6,197.9,2009,NA
6,202.7,2010,NA
6,207,2011,NA
6,209.8,2012,NA
6,212.6,2013,NA
5,174.8,2007,NA
5,178.5,2008,NA
5,181.4,2009,NA
5,185.9,2010,NA
5,189.8,2011,NA
5,192.4,2012,NA
5,194.9,2013,NA
7,383.4,2007,NA
7,391.5,2008,NA
7,397.9,2009,NA
7,407.6,2010,NA
7,416.3,2011,NA
7,422,2012,NA
7,427.5,2013,NA
8,388.3,2007,NA
8,396.6,2008,NA
8,403,2009,NA
8,412.9,2010,NA
8,421.6,2011,NA
8,427.4,2012,NA
8,433,2013,NA
9,755.5,2007,NA
9,771.6,2008,NA
9,784.1,2009,NA
9,803.4,2010,NA
9,820.4,2011,NA
9,831.6,2012,NA
9,824.6,2013,NA
10,103,2007,NA
10,105.2,2008,NA
10,106.9,2009,NA
10,109.5,2010,NA
10,111.9,2011,NA
10,113.4,2012,NA
10,114.9,2013,NA
11,120.5,2007,NA
11,123.1,2008,NA
11,125.1,2009,NA
11,128.1,2010,NA
11,130.9,2011,NA
11,132.7,2012,NA
11,134.4,2013,NA
