"category","value","year"
"fishing",565.5,2007
"fishing",553.2,2008
"fishing",540,2009
"fishing",531.3,2010
"fishing",520.8,2011
"oil_gas",20.1,2007
"oil_gas",19.74,2008
"oil_gas",19.2,2009
"oil_gas",18.9,2010
"oil_gas",18.5,2011
"mining",1.6,2007
"mining",1.6,2008
"mining",1.6,2009
"mining",1.5,2010
"mining",1.5,2011
"seasalt",24.4,2007
"seasalt",23.8,2008
"seasalt",23.3,2009
"seasalt",22.9,2010
"seasalt",22.4,2011
"chemical",26.1,2007
"chemical",25.6,2008
"chemical",25,2009
"chemical",24.6,2010
"chemical",24.1,2011
"biomedicine",1,2007
"biomedicine",1,2008
"biomedicine",0.9,2009
"biomedicine",0.9,2010
"biomedicine",0.9,2011
"electric",1.1,2007
"electric",1.1,2008
"electric",1.1,2009
"electric",1.1,2010
"electric",1,2011
"ship_building",33.4,2007
"ship_building",32.7,2008
"ship_building",31.9,2009
"ship_building",31.4,2010
"ship_building",30.8,2011
"egineering_arch",63,2007
"egineering_arch",61.6,2008
"egineering_arch",60.2,2009
"egineering_arch",59.2,2010
"egineering_arch",58,2011
"comm_transport",82.5,2007
"comm_transport",80.7,2008
"comm_transport",78.8,2009
"comm_transport",77.5,2010
"comm_transport",76,2011
"tourism",127.1,2007
"tourism",124.4,2008
"tourism",121.4,2009
"tourism",119.5,2010
"tourism",117.1,2011
